n_kgs,seed,n_samples,n_classes,oob,composite,mean_class_oob,min_class_oob,top_feature,top_importance,train_time_s
5,0,5273,16,0.674569,0.445156,0.500939,0.000000,fused_ndvi_mean,0.0319,6.2
5,1,5794,15,0.714360,0.465519,0.513643,0.000000,fused_ndvi_mean,0.0409,6.1
5,2,4188,15,0.807307,0.548614,0.644832,0.000000,harm_rmse,0.0431,3.9
5,3,9640,15,0.739315,0.502172,0.589845,0.000000,green_ratio,0.0349,10.7
5,4,6609,16,0.716599,0.566323,0.640365,0.222222,fused_ndvi_mean,0.0399,6.5
10,0,15153,16,0.700125,0.460539,0.515682,0.000000,fused_ndvi_mean,0.0324,17.8
10,1,11640,15,0.697423,0.555872,0.619034,0.240964,hansen_treecover2000,0.0357,11.9
10,2,8691,16,0.767115,0.512103,0.586450,0.000000,harm_rmse,0.0381,9.4
10,3,16589,16,0.710350,0.571371,0.631157,0.265306,harm_rmse,0.0342,21.4
10,4,16204,16,0.718403,0.548672,0.667237,0.111111,fused_ndvi_mean,0.0386,19.5
15,0,19995,16,0.707477,0.472996,0.542873,0.000000,fused_ndvi_mean,0.0338,25.1
15,1,16865,16,0.683546,0.475920,0.578577,0.000000,fused_ndvi_mean,0.0332,19.3
15,2,12927,16,0.776978,0.538571,0.650798,0.000000,nir_mean,0.0400,13.6
15,3,20989,16,0.689313,0.583894,0.636901,0.341014,hansen_loss_frac,0.0363,25.9
15,4,19164,16,0.713682,0.574899,0.668202,0.222222,hansen_loss_frac,0.0371,24.2
20,0,25116,16,0.698081,0.467892,0.539028,0.000000,fused_ndvi_mean,0.0346,31.9
20,1,22718,16,0.694119,0.479794,0.577562,0.000000,fused_ndvi_mean,0.0334,27.9
20,2,26715,16,0.747333,0.524385,0.644148,0.000000,nir_mean,0.0331,34.0
20,3,29233,16,0.687374,0.578327,0.637388,0.321168,hansen_loss_frac,0.0368,37.6
20,4,27225,16,0.719192,0.527137,0.646578,0.052632,fused_ndvi_mean,0.0416,34.8
25,0,31772,16,0.689444,0.489639,0.570217,0.057143,fused_ndvi_mean,0.0326,41.5
25,1,32599,16,0.684377,0.524750,0.598658,0.165877,fused_ndvi_mean,0.0324,40.5
25,2,34181,16,0.718674,0.573255,0.634315,0.255102,fused_ndvi_mean,0.0327,45.5
25,3,38232,16,0.688062,0.568439,0.624723,0.298246,hansen_loss_frac,0.0337,51.3
25,4,35052,16,0.712228,0.517711,0.631187,0.047619,fused_ndvi_mean,0.0423,48.6
30,0,38326,16,0.678547,0.476954,0.555498,0.044444,h_mean,0.0345,51.9
30,1,38354,16,0.691740,0.526915,0.596413,0.165899,fused_ndvi_mean,0.0342,51.4
30,2,38471,16,0.706870,0.552770,0.618430,0.214286,fused_ndvi_mean,0.0338,53.8
30,3,44781,16,0.681427,0.565169,0.623902,0.296928,h_mean,0.0324,60.3
30,4,38807,16,0.699822,0.524452,0.621417,0.108108,fused_ndvi_mean,0.0392,55.5
35,0,44842,16,0.677022,0.468384,0.564501,0.000000,fused_ndvi_mean,0.0342,63.4
35,1,42804,16,0.692342,0.522803,0.594162,0.151639,fused_ndvi_mean,0.0379,57.4
35,2,49806,16,0.705216,0.551954,0.617988,0.214286,fused_ndvi_mean,0.0350,73.4
40,0,50499,16,0.687063,0.567424,0.636378,0.279468,hansen_treecover2000,0.0399,72.0
40,1,47142,16,0.686394,0.534397,0.600015,0.199336,fused_ndvi_mean,0.0366,65.6
40,2,57329,16,0.696942,0.552228,0.606362,0.244898,hansen_loss_frac,0.0373,84.9
45,0,55400,16,0.678953,0.576427,0.630546,0.336620,hansen_treecover2000,0.0392,79.7
45,1,53293,16,0.690297,0.575070,0.634301,0.307783,hansen_treecover2000,0.0387,74.7
45,2,65909,16,0.689602,0.572865,0.611715,0.331695,hansen_loss_frac,0.0362,98.7
50,0,65197,16,0.668390,0.550525,0.615846,0.270492,hansen_treecover2000,0.0387,97.3
