n_kgs,seed,n_samples,n_classes,oob,top_feature,top_importance,train_time_s
5,0,13857,16,0.868225,cop_ndvi_mean,0.0346,8.1
5,1,12486,18,0.862646,hansen_recent_loss_frac,0.0333,7.6
5,2,19112,15,0.845856,harm_mean,0.0408,12.2
5,3,14227,17,0.779925,harm_rmse,0.0366,9.3
5,4,17896,18,0.803252,harm_phase,0.0353,12.7
10,0,30164,17,0.817630,hansen_recent_loss_frac,0.0320,21.0
10,1,24558,18,0.818756,fused_ndvi_mean,0.0319,16.3
10,2,35468,16,0.802075,ndvi_mean,0.0320,24.3
10,3,30879,17,0.779300,h_mean,0.0270,25.7
10,4,32920,18,0.816920,harm_phase,0.0301,30.1
15,0,44486,18,0.809603,sar_vh,0.0355,35.9
15,1,41067,19,0.804734,fused_ndvi_mean,0.0351,61.9
15,2,48985,16,0.793182,ndvi_mean,0.0321,66.5
15,3,44312,17,0.791253,sar_vh,0.0288,39.4
15,4,50840,18,0.816463,sar_vv,0.0300,42.3
20,0,63138,19,0.826127,sar_vh,0.0327,53.5
20,1,61752,19,0.808314,fused_ndvi_mean,0.0325,79.5
20,2,63986,16,0.810677,h_mean,0.0308,53.1
20,3,59114,17,0.794685,hansen_recent_loss_frac,0.0322,54.2
20,4,67783,19,0.811944,harm_phase,0.0328,93.6
25,0,74816,18,0.805389,hansen_recent_loss_frac,0.0325,65.2
25,1,73951,17,0.810469,hansen_recent_loss_frac,0.0347,73.2
25,2,74161,17,0.811046,hansen_recent_loss_frac,0.0308,63.4
25,3,77662,19,0.808993,fused_ndvi_mean,0.0308,66.3
25,4,80454,18,0.785095,fused_ndvi_mean,0.0315,67.2
30,0,90801,18,0.795200,hansen_recent_loss_frac,0.0324,122.7
30,1,91352,18,0.802051,fused_ndvi_mean,0.0344,150.8
30,2,88065,17,0.791654,fused_ndvi_mean,0.0331,152.9
30,3,93862,19,0.801847,fused_ndvi_mean,0.0317,99.6
30,4,95585,18,0.790616,fused_ndvi_mean,0.0308,82.7
35,0,103751,18,0.788445,hansen_recent_loss_frac,0.0335,135.4
35,1,110923,18,0.804423,fused_ndvi_mean,0.0344,98.1
35,2,103067,19,0.780289,fused_ndvi_mean,0.0349,138.5
35,3,108944,19,0.802513,hansen_recent_loss_frac,0.0329,151.8
35,4,108430,18,0.790436,fused_ndvi_mean,0.0315,135.3
40,0,117559,18,0.788353,hansen_recent_loss_frac,0.0334,136.9
40,1,122298,18,0.806448,fused_ndvi_mean,0.0356,107.6
40,2,120253,19,0.789020,fused_ndvi_mean,0.0329,138.6
40,3,122881,19,0.790684,hansen_recent_loss_frac,0.0323,154.2
40,4,122550,18,0.798188,fused_ndvi_mean,0.0304,119.7
45,0,134650,19,0.774675,sar_vh,0.0323,154.6
45,1,137258,19,0.788340,fused_ndvi_mean,0.0323,161.6
45,2,122766,19,0.770987,fused_ndvi_mean,0.0318,201.1
45,3,130963,18,0.786192,fused_ndvi_mean,0.0351,138.8
45,4,130956,19,0.774161,fused_ndvi_mean,0.0317,132.7
50,0,143682,19,0.782325,fused_ndvi_mean,0.0358,197.1
50,1,143707,18,0.795264,fused_ndvi_mean,0.0347,166.4
50,2,134753,19,0.760169,fused_ndvi_mean,0.0356,156.3
50,3,142354,18,0.781924,fused_ndvi_mean,0.0348,162.7
50,4,144680,19,0.774122,fused_ndvi_mean,0.0319,139.6
55,0,156002,19,0.782926,fused_ndvi_mean,0.0367,210.9
55,1,155188,18,0.788843,fused_ndvi_mean,0.0340,148.1
55,2,150685,19,0.763394,fused_ndvi_mean,0.0352,142.6
55,3,158678,19,0.772892,fused_ndvi_mean,0.0350,181.9
55,4,156881,19,0.778628,fused_ndvi_mean,0.0322,148.9
60,0,169812,19,0.775357,fused_ndvi_mean,0.0343,167.6
60,1,170067,18,0.781427,fused_ndvi_mean,0.0343,158.9
60,2,165072,19,0.767005,fused_ndvi_mean,0.0347,156.6
60,3,169542,19,0.772640,fused_ndvi_mean,0.0330,241.6
60,4,170935,19,0.774920,fused_ndvi_mean,0.0329,164.5
65,0,175746,19,0.765855,fused_ndvi_mean,0.0351,335.1
65,1,181864,19,0.775508,fused_ndvi_mean,0.0349,344.9
65,2,176155,19,0.768533,hansen_recent_loss_frac,0.0330,328.8
65,3,168585,19,0.747919,fused_ndvi_mean,0.0354,323.9
65,4,179808,19,0.772530,fused_ndvi_mean,0.0351,342.3
70,0,192651,18,0.775511,fused_ndvi_mean,0.0373,356.8
70,1,189119,19,0.764270,hansen_recent_loss_frac,0.0339,360.0
70,2,188868,19,0.765662,hansen_recent_loss_frac,0.0348,359.8
70,3,186815,19,0.757723,fused_ndvi_mean,0.0352,357.8
70,4,190209,19,0.765837,fused_ndvi_mean,0.0371,367.7
75,0,200915,19,0.760874,fused_ndvi_mean,0.0353,387.7
75,1,199946,19,0.759805,fused_ndvi_mean,0.0359,383.7
75,2,200164,19,0.766332,fused_ndvi_mean,0.0364,384.0
75,3,199718,19,0.760648,fused_ndvi_mean,0.0363,391.0
75,4,203242,19,0.765629,fused_ndvi_mean,0.0347,394.2
80,0,216717,19,0.759304,fused_ndvi_mean,0.0349,430.1
80,1,216717,19,0.759345,fused_ndvi_mean,0.0349,427.3
80,2,218897,19,0.760773,fused_ndvi_mean,0.0347,435.1
80,3,218191,19,0.759243,fused_ndvi_mean,0.0354,434.6
80,4,218191,19,0.757882,fused_ndvi_mean,0.0347,435.3
85,0,222454,19,0.764918,fused_ndvi_mean,0.0370,438.2
85,1,217803,19,0.761165,fused_ndvi_mean,0.0359,421.4
85,2,221180,20,0.753337,fused_ndvi_mean,0.0356,449.8
85,3,219008,20,0.749772,fused_ndvi_mean,0.0341,439.6
85,4,224543,20,0.756292,fused_ndvi_mean,0.0360,454.1
90,0,238410,19,0.761256,fused_ndvi_mean,0.0376,475.2
90,1,231055,19,0.758741,hansen_recent_loss_frac,0.0395,453.9
90,2,232483,20,0.753982,fused_ndvi_mean,0.0362,482.5
90,3,237562,20,0.753816,fused_ndvi_mean,0.0340,484.7
90,4,242083,20,0.757050,fused_ndvi_mean,0.0339,494.2
95,0,252402,20,0.749863,fused_ndvi_mean,0.0361,524.0
95,1,241420,20,0.750120,fused_ndvi_mean,0.0369,497.3
95,2,248474,20,0.753270,fused_ndvi_mean,0.0372,514.3
95,3,245260,20,0.754212,fused_ndvi_mean,0.0354,502.9
95,4,250985,20,0.756818,fused_ndvi_mean,0.0346,516.8
100,0,262322,20,0.746922,fused_ndvi_mean,0.0373,552.7
100,1,257039,20,0.751625,fused_ndvi_mean,0.0364,532.2
100,2,259775,20,0.753029,fused_ndvi_mean,0.0351,532.8
100,3,261728,20,0.747593,fused_ndvi_mean,0.0359,536.2
100,4,264099,20,0.752612,fused_ndvi_mean,0.0357,552.0
105,0,271840,20,0.745736,fused_ndvi_mean,0.0376,572.8
105,1,273985,20,0.749220,fused_ndvi_mean,0.0373,573.8
105,2,274398,20,0.748063,fused_ndvi_mean,0.0368,577.0
105,3,273970,20,0.747228,fused_ndvi_mean,0.0357,580.2
105,4,273970,20,0.746826,fused_ndvi_mean,0.0352,576.0
110,0,286646,20,0.741420,fused_ndvi_mean,0.0396,611.8
110,1,286736,20,0.747845,fused_ndvi_mean,0.0380,605.4
115,0,296091,20,0.736240,fused_ndvi_mean,0.0371,630.9
120,0,308267,20,0.734386,fused_ndvi_mean,0.0374,663.0
125,0,326928,20,0.733259,fused_ndvi_mean,0.0363,707.2
